Key,ko,en
game_start,게임 시작,Game Start
game_quit,게임 종료,Game Quit
game_title,블루헤드호러2,Bluehead Horror 2
game_setting,설정,setting
quest,퀘스트,Quest
complete,완료,complete
loading1,로딩중.,Loading.
loading2,로딩중..,Loading...
loading3,로딩중...,Loading...
lange,언어설정,Language settings
redheadhorror,레드머리공포,Redhead Horror
gameStart1,안내자: 파란 머리가 나온 꿈을 꾼지 10년이 지났다,Guide: It's been 10 years since I had the dream about blue hair.
gameStart2,안내자: 한 여름 밤의 꿈이라고 생각해 금방 잊고 지내다,Guide: I thought it was a midsummer night's dream and quickly forgot about it.
gameStart3,안내자: 힐링을 하기 위해 캠핑을 오게 되었다,Guide: I came camping to heal.
player1-1,플레이어: 어 뭐야? 고양이인가?,"Player: Oh, what is it? Is it a cat?"
player1-2,플레이어: 너 그거 먹으면 안돼!,Player: You can't eat that!
player1-3,플레이어: 안되겠다 쫓아 가야겠어,Player: This won't work. I have to chase after them.
player2-1,"플레이어: 아니 쟤는 설마....,,","Player: No, he couldn't possibly be....,,"
player2-2,플레이어: 10년전 꿈에서 봤던 그 파란 머리!,Player: That blue hair I saw in my dream 10 years ago!
player2-3,플레이어: 분명 꿈이였었는데,Player: It was definitely a dream
player2-4,파란머리: 하하 그게 꿈인줄 알았Blue,Blue Hair: Haha I thought it was a dream
player2-5,파란머리: 그때는 아직 힘이 부족해서 꿈에서 밖에 나타날 수 없었Blue,"Blue Hair: At that time, I was still lacking strength, so I could only appear in dreams."
player2-6,플레이어: 뭐라고?,Player: What?
player2-7,파란머리: 하지만 이번엔 이몸을 포함한 다른 동료들까지 힘을 되찾았Blue,"Blue Hair: But this time, even my other companions, including this one, regained their strength."
player2-8,파란머리: 너의 몸은 이제 곧 이 작은파란머리 처럼 작아질Blue,Blue Hair: Your body will soon become as small as this little blue hair.
player2-9,파란머리: 내 동료들을 피해 잘 살아남아보도록 그럼 이만Blue,"Blue Hair: I'll try to avoid my colleagues and survive. Okay, bye Blue."
